	ref	object	trade	url
0	18036087	江西诚信伟业招标咨询有限公司关于江西中医药大学附属医院采购一批医用病床和床头柜项目（项目编号：1493-226105148020）竞争性谈判采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036087.htm
1	18036120	江西省机电设备招标有限公司关于江西现代技师学院智慧校园安全保障系统项目（项目编号：JXTC2022070158）竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036120.htm
2	18036121	赣州瑞林招标代理有限公司关于江西省赣州市立医院智能采血管理系统项目（项目编号：GZRL2022-ZG-J002）竞争性谈判采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036121.htm
3	18036123	江西元泽招标咨询有限公司关于南昌县第二人民医院（南昌县血吸虫病防治站）灭螺药采购项目（第二次）项目编号：JXYZ20220133】竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036123.htm
4	18036274	礼泉县皇甫中学办公家具采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036274.htm
5	18036281	定边县体育运动中心采购省十七运定边站火炬手传递第三方服务项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036281.htm
6	18036282	大同市人民政府国有资产监督管理委员会大同市市属关闭破产企业“4555”职工生活费、取暖费测算服务及资格认证平台项目建设方案预算评估服务竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036282.htm
7	18036301	延长县农业农村局郭旗村日光温室新品种引进培育项目采购竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036301.htm
8	18036323	2022年绥德县环境卫生所环卫设备维修采购项目		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036323.htm
9	18036333	大安市残疾人联合会复合肥采购竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036333.htm
10	18036334	沈阳航空航天大学自动化学院空地协作SLAM实验平台采购项目W2022094竞争性谈判公告	货物/专用设备/航空航天工业专用设备/其他航空航天工业专用制造设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036334.htm
11	18036338	牡丹江市林业和草原局_牡丹江市林长制公示牌制作服务项目竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036338.htm
12	18036405	北京市怀柔区教育委员会部分学校、幼儿园更新燃气报警设备竞争性谈判公告	货物/专用设备/政法、检测专用设备/消防设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036405.htm
13	18036422	四川省武胜县中医医院系统等级保护测评采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036422.htm
14	18036468	北京市怀柔区教育委员会电气火灾监控系统采购竞争性谈判公告	货物/专用设备/安全生产设备/其他安全生产设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036468.htm
15	18036598	四川水利职业技术学院UPS采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036598.htm
16	18036661	凤城三杨房地产开发有限公司凤城市东御城物业管理项目竞争性谈判公告	服务/房地产服务/物业管理服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036661.htm
17	18036708	厦门华沧-竞争性谈判-2022-HCJZ-SH522-电控牙科综合治疗椅-采购公告	货物/专用设备/医疗设备/其他医疗设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036708.htm
18	18036823	南安市疾病预防控制中心2022年城区除四害服务采购项目竞争性谈判公告	服务/环境服务/其他环境治理服务/其他环境治理服务,服务/环境服务/城镇公共卫生服务/其他城镇公共卫生服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036823.htm
19	18036891	九江某部勘察服务项目（二次）竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036891.htm
20	18036962	秦皇岛市公安局北戴河旅游旺季餐饮劳务服务项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036962.htm
21	18036986	澄城县职业教育中心心理健康辅导室设备采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036986.htm
22	18036997	永宁县蓝山学校书法教室建设及其它教学设备采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036997.htm
23	18037000	某单位礼堂东侧屋面维修项目竞争性谈判公告	工程/修缮工程/其他建筑物、构筑物修缮,工程/修缮工程/房屋修缮	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037000.htm
24	18037045	中兴豫建设管理有限公司关于2022年度防雷设备整改项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037045.htm
25	18037055	崇州市机关事务中心关于市委集中办公区物业服务采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037055.htm
26	18037056	哈尔滨医科大学大庆分校实验用鼠采购项目竞争性谈判公告（第二次）	货物/农林牧渔业产品/特种用途动、植物/特种用途动物/实验用动物	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037056.htm
27	18037057	哈尔滨医科大学大庆分校教学实验用家兔和蛙采购项目竞争性谈判公告（第二次）	货物/农林牧渔业产品/特种用途动、植物/特种用途动物/实验用动物	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037057.htm
28	18037062	昆山花桥国际商务城中等专业学校关于电梯曳引钢丝绳及附属配件的竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037062.htm
29	18037108	某单位库房安防系统升级改造项目（第二次）竞争性谈判公告	货物/通用设备/计算机设备及软件/输入输出设备/显示设备/其他显示器,工程/建筑安装工程/智能化安装工程/通信系统工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037108.htm
30	18037113	七台河市市场监督管理局2022年印刷服务分散采购项目(二次)竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037113.htm
31	18037125	福建省党员电化教育中心摄制《党旗飘扬》系列专题片采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037125.htm
32	18037142	东北石油大学2022年下半年食堂原材料大米采购竞争性谈判公告（第二次）	货物/农林牧渔业产品/农产品/农作物副产品/其他农作物副产品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037142.htm
33	18037234	四川省苗溪有限责任公司会见中心等信息化综合布线项目竞争性谈判公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037234.htm
34	18037288	某部液压升降旋转平台采购竞争性谈判公告	货物/通用设备/机械设备/其他机械设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037288.htm
35	18037312	政和县教育局宣传片制作服务项目竞争性谈判公告	服务/商务服务/其他商务服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037312.htm
36	18037339	长春经济技术开发区建设工程管理中心长春市五大污水处理系统“一厂一策”提质增效工程项目——经开区工程项目（二标段）造价服务、长春市五大污水处理系统“一厂一策”提质增效工程项目——经开区工程项目（二标段）施工图审查服务竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037339.htm
37	18037376	西昌市农业农村局烤烟房设备、配件采购（包括安装调试维护）竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037376.htm
38	18037432	尤溪县总医院新冠肺炎疫情防控物资采购项目竞争性谈判公告	服务/批发和零售服务/零售服务/医药和医疗器材专门零售服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037432.htm
39	18037451	福建工业学校经贸采购电子商务技能竞赛系统采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037451.htm
40	18037454	贵州交通技师学院（贵州省交通运输学校）2022-2024年度学生学平险与顶岗实习个人险采购项目（二次）竞争性谈判公告	服务/金融服务/保险服务/其他保险服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037454.htm
41	18037474	永吉县实验职业高中学生宿舍床购置项目竞争性谈判公告	货物/家具用具/床类/其他床类	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037474.htm
