	ref	object_original	trade_original	url	object	trade
6	18036282	大同市人民政府国有资产监督管理委员会大同市市属关闭破产企业“4555”职工生活费、取暖费测算服务及资格认证平台项目建设方案预算评估服务竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036282.htm	大同市人民政府国有资产监督管理委员会大同市市属关闭破产企业职工生活费取暖费测算服务及资格认证平台项目建设方案预算评估服务竞争性谈判公告	服务
9	18036333	大安市残疾人联合会复合肥采购竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036333.htm	大安市残疾人联合会复合肥采购竞争性谈判公告	货物
10	18036334	沈阳航空航天大学自动化学院空地协作SLAM实验平台采购项目W2022094竞争性谈判公告	货物/专用设备/航空航天工业专用设备/其他航空航天工业专用制造设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036334.htm	沈阳航空航天大学自动化学院空地协作实验平台采购项目竞争性谈判公告	货物
11	18036338	牡丹江市林业和草原局_牡丹江市林长制公示牌制作服务项目竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036338.htm	牡丹江市林业和草原局_牡丹江市林长制公示牌制作服务项目竞争性谈判公告	服务
12	18036405	北京市怀柔区教育委员会部分学校、幼儿园更新燃气报警设备竞争性谈判公告	货物/专用设备/政法、检测专用设备/消防设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036405.htm	北京市怀柔区教育委员会部分学校幼儿园更新燃气报警设备竞争性谈判公告	货物
14	18036468	北京市怀柔区教育委员会电气火灾监控系统采购竞争性谈判公告	货物/专用设备/安全生产设备/其他安全生产设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036468.htm	北京市怀柔区教育委员会电气火灾监控系统采购竞争性谈判公告	货物
16	18036661	凤城三杨房地产开发有限公司凤城市东御城物业管理项目竞争性谈判公告	服务/房地产服务/物业管理服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036661.htm	凤城三杨房地产开发有限公司凤城市东御城物业管理项目竞争性谈判公告	服务
17	18036708	厦门华沧-竞争性谈判-2022-HCJZ-SH522-电控牙科综合治疗椅-采购公告	货物/专用设备/医疗设备/其他医疗设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036708.htm	厦门华沧竞争性谈判电控牙科综合治疗椅采购公告	货物
18	18036823	南安市疾病预防控制中心2022年城区除四害服务采购项目竞争性谈判公告	服务/环境服务/其他环境治理服务/其他环境治理服务,服务/环境服务/城镇公共卫生服务/其他城镇公共卫生服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036823.htm	南安市疾病预防控制中心年城区除四害服务采购项目竞争性谈判公告	服务
19	18036891	九江某部勘察服务项目（二次）竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036891.htm	九江某部勘察服务项目二次竞争性谈判公告	服务
22	18036997	永宁县蓝山学校书法教室建设及其它教学设备采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036997.htm	永宁县蓝山学校书法教室建设及其它教学设备采购项目竞争性谈判公告	货物
23	18037000	某单位礼堂东侧屋面维修项目竞争性谈判公告	工程/修缮工程/其他建筑物、构筑物修缮,工程/修缮工程/房屋修缮	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037000.htm	某单位礼堂东侧屋面维修项目竞争性谈判公告	工程
24	18037045	中兴豫建设管理有限公司关于2022年度防雷设备整改项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037045.htm	年度防雷设备整改项目竞争性谈判公告	货物
26	18037056	哈尔滨医科大学大庆分校实验用鼠采购项目竞争性谈判公告（第二次）	货物/农林牧渔业产品/特种用途动、植物/特种用途动物/实验用动物	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037056.htm	哈尔滨医科大学大庆分校实验用鼠采购项目竞争性谈判公告第二次	货物
27	18037057	哈尔滨医科大学大庆分校教学实验用家兔和蛙采购项目竞争性谈判公告（第二次）	货物/农林牧渔业产品/特种用途动、植物/特种用途动物/实验用动物	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037057.htm	哈尔滨医科大学大庆分校教学实验用家兔和蛙采购项目竞争性谈判公告第二次	货物
28	18037062	昆山花桥国际商务城中等专业学校关于电梯曳引钢丝绳及附属配件的竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037062.htm	电梯曳引钢丝绳及附属配件的竞争性谈判公告	货物
29	18037108	某单位库房安防系统升级改造项目（第二次）竞争性谈判公告	货物/通用设备/计算机设备及软件/输入输出设备/显示设备/其他显示器,工程/建筑安装工程/智能化安装工程/通信系统工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037108.htm	某单位库房安防系统升级改造项目第二次竞争性谈判公告	货物
32	18037142	东北石油大学2022年下半年食堂原材料大米采购竞争性谈判公告（第二次）	货物/农林牧渔业产品/农产品/农作物副产品/其他农作物副产品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037142.htm	东北石油大学年下半年食堂原材料大米采购竞争性谈判公告第二次	货物
33	18037234	四川省苗溪有限责任公司会见中心等信息化综合布线项目竞争性谈判公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037234.htm	四川省苗溪有限责任公司会见中心等信息化综合布线项目竞争性谈判公告	工程
34	18037288	某部液压升降旋转平台采购竞争性谈判公告	货物/通用设备/机械设备/其他机械设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037288.htm	某部液压升降旋转平台采购竞争性谈判公告	货物
35	18037312	政和县教育局宣传片制作服务项目竞争性谈判公告	服务/商务服务/其他商务服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037312.htm	政和县教育局宣传片制作服务项目竞争性谈判公告	服务
