	ref	object_original	trade_original	url	object	trade
0	18036087	江西诚信伟业招标咨询有限公司关于江西中医药大学附属医院采购一批医用病床和床头柜项目（项目编号：1493-226105148020）竞争性谈判采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036087.htm	江西中医药大学附属医院采购一批医用病床和床头柜项目竞争性谈判采购公告	
1	18036120	江西省机电设备招标有限公司关于江西现代技师学院智慧校园安全保障系统项目（项目编号：JXTC2022070158）竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036120.htm	江西现代技师学院智慧校园安全保障系统项目竞争性谈判公告	
2	18036121	赣州瑞林招标代理有限公司关于江西省赣州市立医院智能采血管理系统项目（项目编号：GZRL2022-ZG-J002）竞争性谈判采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036121.htm	江西省赣州市立医院智能采血管理系统项目竞争性谈判采购公告	
3	18036123	江西元泽招标咨询有限公司关于南昌县第二人民医院（南昌县血吸虫病防治站）灭螺药采购项目（第二次）项目编号：JXYZ20220133】竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036123.htm	南昌县第二人民医院南昌县血吸虫病防治站灭螺药采购项目第二次项目编号竞争性谈判公告	
4	18036274	礼泉县皇甫中学办公家具采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036274.htm	礼泉县皇甫中学办公家具采购项目竞争性谈判公告	
5	18036281	定边县体育运动中心采购省十七运定边站火炬手传递第三方服务项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036281.htm	定边县体育运动中心采购省十七运定边站火炬手传递第三方服务项目竞争性谈判公告	
7	18036301	延长县农业农村局郭旗村日光温室新品种引进培育项目采购竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036301.htm	延长县农业农村局郭旗村日光温室新品种引进培育项目采购竞争性谈判公告	
8	18036323	2022年绥德县环境卫生所环卫设备维修采购项目		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036323.htm	年绥德县环境卫生所环卫设备维修采购项目	
13	18036422	四川省武胜县中医医院系统等级保护测评采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036422.htm	四川省武胜县中医医院系统等级保护测评采购项目竞争性谈判公告	
15	18036598	四川水利职业技术学院UPS采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036598.htm	四川水利职业技术学院采购项目竞争性谈判公告	
